"RANK","TEAM","CONF","DIVISION","GP","PPG","oPPG","pDIFF","PACE","oEFF","dEFF","eDIFF","SOS","rSOS","SAR","CONS","A4F","W","L","WIN%","eWIN%","pWIN%","ACH","STRK"
"","Boston","East","Atlantic","45","120.8","110.6","10.2","98.2","121.7","111.4","10.3","-0.24","-1.06","10.06","15","0.077","35","10","0.778","0.754","0.836","0.024","3"
"","Milwaukee","East","Central","44","124.6","120.4","4.2","101.8","121.5","117.4","4.1","-1.58","1.09","2.52","14.1","0.068","31","13","0.705","0.615","0.638","0.09","3"
"","Philadelphia","East","Atlantic","43","119.8","112","7.8","99.1","120.4","112.6","7.8","-2.68","0.41","5.12","16.9","-0.015","29","14","0.674","0.677","0.757","-0.003","-1"
"","New York","East","Atlantic","45","115.2","109.8","5.4","97.2","118.5","113","5.5","0.01","-0.19","5.51","15.8","0.023","28","17","0.622","0.636","0.678","-0.014","5"
"","Cleveland","East","Central","42","114","110.1","3.9","98.1","115.7","111.6","4.1","-0.31","-0.24","3.79","15.4","0.043","26","16","0.619","0.605","0.628","0.014","-1"
"","Indiana","East","Central","45","124.8","122.9","1.9","102.7","121.6","119.7","1.9","0.14","0.26","2.04","16.4","0.009","25","20","0.556","0.546","0.563","0.01","1"
"","Miami","East","Southeast","45","110.5","111.3","-0.8","96.9","113.8","114.6","-0.8","-0.77","-0.11","-1.57","13","-0.042","24","21","0.533","0.475","0.474","0.058","-5"
"","Orlando","East","Southeast","44","111.4","111.2","0.2","98.3","112.6","112.3","0.3","1.94","-2.12","2.24","14.9","-0.015","23","21","0.523","0.508","0.507","0.015","-1"
"","Chicago","East","Central","46","111.1","112.7","-1.6","96.3","113.9","115.5","-1.6","0.09","-0.02","-1.51","12.9","-0.055","21","25","0.457","0.451","0.447","0.006","-2"
"","Atlanta","East","Southeast","44","119.6","122.7","-3.1","101.2","117.3","120.4","-3.1","-1.06","0.11","-4.16","12.6","-0.062","18","26","0.409","0.403","0.398","0.006","-3"
"","Brooklyn","East","Atlantic","44","113.5","115.1","-1.6","97.6","115.4","117.1","-1.7","-0.18","0.21","-1.88","13.3","0","17","27","0.386","0.449","0.447","-0.063","-3"
"","Toronto","East","Atlantic","44","114.3","116.4","-2.1","98.9","115.1","117.2","-2.1","0.79","-0.57","-1.31","13.7","-0.02","16","28","0.364","0.439","0.431","-0.075","-3"
"","Charlotte","East","Southeast","42","108.7","119.8","-11.1","98.2","110.2","121.3","-11.1","1.76","-0.24","-9.34","12.7","-0.073","10","32","0.238","0.192","0.135","0.046","-1"
"","Washington","East","Southeast","44","115","124.7","-9.7","103.1","111.5","120.9","-9.4","1.17","0.79","-8.23","13.6","-0.067","7","37","0.159","0.245","0.181","-0.086","-6"
"","Detroit","East","Central","44","112.5","122.6","-10.1","100.7","111.2","121.3","-10.1","0.60","0.47","-9.50","11","0.007","5","39","0.114","0.179","0.167","-0.065","1"
"","Minnesota","West","Northwest","45","113.1","107.5","5.6","98.1","114.8","109.1","5.7","-1.41","0.03","4.29","13.2","0.086","32","13","0.711","0.668","0.684","0.043","2"
"","Oklahoma City","West","Northwest","44","121.9","113.6","8.3","100.2","121.1","112.8","8.3","-0.28","-0.31","8.02","16","0.024","31","13","0.705","0.698","0.773","0.007","4"
"","Denver","West","Northwest","46","115.2","111.1","4.1","97","118.8","114.6","4.2","0.33","-0.37","4.53","14.8","0.052","31","15","0.674","0.612","0.635","0.062","-1"
"","LA Clippers","West","Pacific","42","118","112.1","5.9","97.6","120.6","114.6","6","-0.61","-0.44","5.39","14.5","0.046","28","14","0.667","0.661","0.694","0.006","3"
"","New Orleans","West","Southwest","44","117.5","112.5","5","98.8","118.6","113.6","5","0.31","0.08","5.31","17.7","0.023","26","18","0.591","0.611","0.665","-0.02","1"
"","Phoenix","West","Pacific","44","116.5","114","2.5","97.8","118.3","115.9","2.4","-0.86","1.21","1.54","12.4","0.05","26","18","0.591","0.577","0.582","0.014","7"
"","Sacramento","West","Pacific","43","118.7","118.1","0.6","99.8","117.5","116.9","0.6","-0.44","0.79","0.16","16","-0.009","25","18","0.581","0.515","0.52","0.066","2"
"","Dallas","West","Southwest","44","118.1","117.8","0.3","100.3","117.7","117.4","0.3","-0.64","0.66","-0.34","17.3","-0.037","24","20","0.545","0.507","0.51","0.038","-3"
"","LA Lakers","West","Pacific","46","115.4","116.2","-0.8","100.7","114","114.9","-0.9","-0.21","0.55","-1.11","16.8","0.015","23","23","0.500","0.479","0.474","0.021","1"
"","Utah","West","Northwest","46","117.5","119.2","-1.7","100","116.2","117.8","-1.6","0.01","0.06","-1.59","17.6","0.025","23","23","0.500","0.464","0.444","0.036","1"
"","Houston","West","Southwest","43","112.9","112.7","0.2","98","113.5","113.3","0.2","0.15","-0.22","0.35","14.6","-0.006","20","23","0.465","0.505","0.507","-0.04","-2"
"","Golden State","West","Pacific","42","118","118.4","-0.4","99","118.3","118.7","-0.4","-0.45","-0.43","-0.85","11.4","0.034","19","23","0.452","0.486","0.487","-0.034","-1"
"","Memphis","West","Southwest","44","107.8","112.9","-5.1","99","108.1","113.2","-5.1","1.34","-0.58","-3.76","14.5","-0.054","17","27","0.386","0.363","0.332","0.023","2"
"","Portland","West","Northwest","44","108.3","117.3","-9","98.4","108.7","117.8","-9.1","0.32","0.11","-8.78","15.6","-0.089","13","31","0.295","0.28","0.204","0.015","1"
"","San Antonio","West","Southwest","44","112.8","122.1","-9.3","101.9","110.1","119.2","-9.1","0.17","0.86","-8.93","15","-0.046","8","36","0.182","0.272","0.194","-0.09","-2"